date,fuel,grade,formulation,price
2008-04-21,diesel,low_sulfur,,4.069
2008-04-28,diesel,ultra_low_sulfur,,4.187
2008-04-28,diesel,low_sulfur,,4.098
2008-05-05,diesel,ultra_low_sulfur,,4.162
2008-05-05,diesel,low_sulfur,,4.049
2008-05-12,diesel,ultra_low_sulfur,,4.339
2008-05-12,diesel,low_sulfur,,4.264
2008-05-19,diesel,ultra_low_sulfur,,4.504
2008-05-19,diesel,low_sulfur,,4.446
2008-05-26,diesel,ultra_low_sulfur,,4.731
2008-05-26,diesel,low_sulfur,,4.659
2008-06-02,diesel,ultra_low_sulfur,,4.716
2008-06-02,diesel,low_sulfur,,4.636
2008-06-09,diesel,ultra_low_sulfur,,4.702
2008-06-09,diesel,low_sulfur,,4.61
2008-06-16,diesel,ultra_low_sulfur,,4.702
2008-06-16,diesel,low_sulfur,,4.606
2008-06-23,diesel,ultra_low_sulfur,,4.659
2008-06-23,diesel,low_sulfur,,4.552
2008-06-30,diesel,ultra_low_sulfur,,4.657
2008-06-30,diesel,low_sulfur,,4.554
2008-07-07,diesel,ultra_low_sulfur,,4.733
2008-07-07,diesel,low_sulfur,,4.676
2008-07-14,diesel,ultra_low_sulfur,,4.771
2008-07-14,diesel,low_sulfur,,4.707
2008-07-21,diesel,ultra_low_sulfur,,4.729
2008-07-21,diesel,low_sulfur,,4.629
2008-07-28,diesel,ultra_low_sulfur,,4.614
2008-07-28,diesel,low_sulfur,,4.512
2008-08-04,diesel,ultra_low_sulfur,,4.515
2008-08-04,diesel,low_sulfur,,4.395
2008-08-11,diesel,ultra_low_sulfur,,4.368
2008-08-11,diesel,low_sulfur,,4.24
2008-08-18,diesel,ultra_low_sulfur,,4.219
2008-08-18,diesel,low_sulfur,,4.102
2008-08-25,diesel,ultra_low_sulfur,,4.158
2008-08-25,diesel,low_sulfur,,4.039
2008-09-01,diesel,ultra_low_sulfur,,4.135
2008-09-01,diesel,low_sulfur,,4.015
2008-09-08,diesel,ultra_low_sulfur,,4.075
2008-09-08,diesel,low_sulfur,,3.936
2008-09-15,diesel,ultra_low_sulfur,,4.035
2008-09-15,diesel,low_sulfur,,3.933
2008-09-22,diesel,ultra_low_sulfur,,3.967
2008-09-22,diesel,low_sulfur,,3.885
2008-09-29,diesel,ultra_low_sulfur,,3.969
2008-09-29,diesel,low_sulfur,,3.887
2008-10-06,diesel,ultra_low_sulfur,,3.887
2008-10-06,diesel,low_sulfur,,3.781
2008-10-13,diesel,ultra_low_sulfur,,3.672
2008-10-13,diesel,low_sulfur,,3.558
2008-10-20,diesel,ultra_low_sulfur,,3.497
2008-10-20,diesel,low_sulfur,,3.358
2008-10-27,diesel,ultra_low_sulfur,,3.3
2008-10-27,diesel,low_sulfur,,3.189
2008-11-03,diesel,ultra_low_sulfur,,3.1
2008-11-03,diesel,low_sulfur,,2.994
2008-11-10,diesel,ultra_low_sulfur,,2.958
2008-11-10,diesel,low_sulfur,,2.829
2008-11-17,diesel,ultra_low_sulfur,,2.822
2008-11-17,diesel,low_sulfur,,2.699
2008-11-24,diesel,ultra_low_sulfur,,2.676
2008-11-24,diesel,low_sulfur,,2.571
2008-12-01,diesel,ultra_low_sulfur,,2.624
2008-12-01,diesel,low_sulfur,,2.544
2008-12-08,diesel,ultra_low_sulfur,,2.523
2008-12-15,diesel,ultra_low_sulfur,,2.43
2008-12-22,diesel,ultra_low_sulfur,,2.373
2008-12-29,diesel,ultra_low_sulfur,,2.335
2009-01-05,diesel,ultra_low_sulfur,,2.299
2009-01-12,diesel,ultra_low_sulfur,,2.324
2009-01-19,diesel,ultra_low_sulfur,,2.307
2009-01-26,diesel,ultra_low_sulfur,,2.278
2009-02-02,diesel,ultra_low_sulfur,,2.256
2009-02-09,diesel,ultra_low_sulfur,,2.23
2009-02-16,diesel,ultra_low_sulfur,,2.197
2009-02-23,diesel,ultra_low_sulfur,,2.138
2009-03-02,diesel,ultra_low_sulfur,,2.095
2009-03-09,diesel,ultra_low_sulfur,,2.051
2009-03-16,diesel,ultra_low_sulfur,,2.023
2009-03-23,diesel,ultra_low_sulfur,,2.093
2009-03-30,diesel,ultra_low_sulfur,,2.225
2009-04-06,diesel,ultra_low_sulfur,,2.233
2009-04-13,diesel,ultra_low_sulfur,,2.234
2009-04-20,diesel,ultra_low_sulfur,,2.226
2009-04-27,diesel,ultra_low_sulfur,,2.207
2009-05-04,diesel,ultra_low_sulfur,,2.192
2009-05-11,diesel,ultra_low_sulfur,,2.223
2009-05-18,diesel,ultra_low_sulfur,,2.237
2009-05-25,diesel,ultra_low_sulfur,,2.278
2009-06-01,diesel,ultra_low_sulfur,,2.354
2009-06-08,diesel,ultra_low_sulfur,,2.501
2009-06-15,diesel,ultra_low_sulfur,,2.575
2009-06-22,diesel,ultra_low_sulfur,,2.619
2009-06-29,diesel,ultra_low_sulfur,,2.612
2009-07-06,diesel,ultra_low_sulfur,,2.598
2009-07-13,diesel,ultra_low_sulfur,,2.546
2009-07-20,diesel,ultra_low_sulfur,,2.501
2009-07-27,diesel,ultra_low_sulfur,,2.532
2009-08-03,diesel,ultra_low_sulfur,,2.554
2009-08-10,diesel,ultra_low_sulfur,,2.628
2009-08-17,diesel,ultra_low_sulfur,,2.656
2009-08-24,diesel,ultra_low_sulfur,,2.672
2009-08-31,diesel,ultra_low_sulfur,,2.679
2009-09-07,diesel,ultra_low_sulfur,,2.65
2009-09-14,diesel,ultra_low_sulfur,,2.638
2009-09-21,diesel,ultra_low_sulfur,,2.626
2009-09-28,diesel,ultra_low_sulfur,,2.606
2009-10-05,diesel,ultra_low_sulfur,,2.588
2009-10-12,diesel,ultra_low_sulfur,,2.604
2009-10-19,diesel,ultra_low_sulfur,,2.708
2009-10-26,diesel,ultra_low_sulfur,,2.805
2009-11-02,diesel,ultra_low_sulfur,,2.811
2009-11-09,diesel,ultra_low_sulfur,,2.805
2009-11-16,diesel,ultra_low_sulfur,,2.795
2009-11-23,diesel,ultra_low_sulfur,,2.792
2009-11-30,diesel,ultra_low_sulfur,,2.78
2009-12-07,diesel,ultra_low_sulfur,,2.777
2009-12-14,diesel,ultra_low_sulfur,,2.753
2009-12-21,diesel,ultra_low_sulfur,,2.731
2009-12-28,diesel,ultra_low_sulfur,,2.736
2010-01-04,diesel,ultra_low_sulfur,,2.801
2010-01-11,diesel,ultra_low_sulfur,,2.882
2010-01-18,diesel,ultra_low_sulfur,,2.874
2010-01-25,diesel,ultra_low_sulfur,,2.838
2010-02-01,diesel,ultra_low_sulfur,,2.787
2010-02-08,diesel,ultra_low_sulfur,,2.775
2010-02-15,diesel,ultra_low_sulfur,,2.761
2010-02-22,diesel,ultra_low_sulfur,,2.834
2010-03-01,diesel,ultra_low_sulfur,,2.865
2010-03-08,diesel,ultra_low_sulfur,,2.906
2010-03-15,diesel,ultra_low_sulfur,,2.926
2010-03-22,diesel,ultra_low_sulfur,,2.949
2010-03-29,diesel,ultra_low_sulfur,,2.942
2010-04-05,diesel,ultra_low_sulfur,,3.017
2010-04-12,diesel,ultra_low_sulfur,,3.073
2010-04-19,diesel,ultra_low_sulfur,,3.078
2010-04-26,diesel,ultra_low_sulfur,,3.082
2010-05-03,diesel,ultra_low_sulfur,,3.126
2010-05-10,diesel,ultra_low_sulfur,,3.131
2010-05-17,diesel,ultra_low_sulfur,,3.098
2010-05-24,diesel,ultra_low_sulfur,,3.025
2010-05-31,diesel,ultra_low_sulfur,,2.983
2010-06-07,diesel,ultra_low_sulfur,,2.949
2010-06-14,diesel,ultra_low_sulfur,,2.93
2010-06-21,diesel,ultra_low_sulfur,,2.962
2010-06-28,diesel,ultra_low_sulfur,,2.957
2010-07-05,diesel,ultra_low_sulfur,,2.925
2010-07-12,diesel,ultra_low_sulfur,,2.904
2010-07-19,diesel,ultra_low_sulfur,,2.899
2010-07-26,diesel,ultra_low_sulfur,,2.919
2010-08-02,diesel,ultra_low_sulfur,,2.928
2010-08-09,diesel,ultra_low_sulfur,,2.991
2010-08-16,diesel,ultra_low_sulfur,,2.979
2010-08-23,diesel,ultra_low_sulfur,,2.957
2010-08-30,diesel,ultra_low_sulfur,,2.938
2010-09-06,diesel,ultra_low_sulfur,,2.931
2010-09-13,diesel,ultra_low_sulfur,,2.943
2010-09-20,diesel,ultra_low_sulfur,,2.96
2010-09-27,diesel,ultra_low_sulfur,,2.951
2010-10-04,diesel,ultra_low_sulfur,,3.0
2010-10-11,diesel,ultra_low_sulfur,,3.066
2010-10-18,diesel,ultra_low_sulfur,,3.073
2010-10-25,diesel,ultra_low_sulfur,,3.067
2010-11-01,diesel,ultra_low_sulfur,,3.067
2010-11-08,diesel,ultra_low_sulfur,,3.116
2010-11-15,diesel,ultra_low_sulfur,,3.184
2010-11-22,diesel,ultra_low_sulfur,,3.171
2010-11-29,diesel,ultra_low_sulfur,,3.162
2010-12-06,diesel,ultra_low_sulfur,,3.197
2010-12-13,diesel,ultra_low_sulfur,,3.231
2010-12-20,diesel,ultra_low_sulfur,,3.248
2010-12-27,diesel,ultra_low_sulfur,,3.294
2011-01-03,diesel,ultra_low_sulfur,,3.331
2011-01-10,diesel,ultra_low_sulfur,,3.333
2011-01-17,diesel,ultra_low_sulfur,,3.407
2011-01-24,diesel,ultra_low_sulfur,,3.43
2011-01-31,diesel,ultra_low_sulfur,,3.438
2011-02-07,diesel,ultra_low_sulfur,,3.513
2011-02-14,diesel,ultra_low_sulfur,,3.534
2011-02-21,diesel,ultra_low_sulfur,,3.573
2011-02-28,diesel,ultra_low_sulfur,,3.716
2011-03-07,diesel,ultra_low_sulfur,,3.871
2011-03-14,diesel,ultra_low_sulfur,,3.908
2011-03-21,diesel,ultra_low_sulfur,,3.907
2011-03-28,diesel,ultra_low_sulfur,,3.932
2011-04-04,diesel,ultra_low_sulfur,,3.976
2011-04-11,diesel,ultra_low_sulfur,,4.078
2011-04-18,diesel,ultra_low_sulfur,,4.105
2011-04-25,diesel,ultra_low_sulfur,,4.098
2011-05-02,diesel,ultra_low_sulfur,,4.124
2011-05-09,diesel,ultra_low_sulfur,,4.104
2011-05-16,diesel,ultra_low_sulfur,,4.061
2011-05-23,diesel,ultra_low_sulfur,,3.997
2011-05-30,diesel,ultra_low_sulfur,,3.948
2011-06-06,diesel,ultra_low_sulfur,,3.94
2011-06-13,diesel,ultra_low_sulfur,,3.954
2011-06-20,diesel,ultra_low_sulfur,,3.95
2011-06-27,diesel,ultra_low_sulfur,,3.888
2011-07-04,diesel,ultra_low_sulfur,,3.85
2011-07-11,diesel,ultra_low_sulfur,,3.899
2011-07-18,diesel,ultra_low_sulfur,,3.923
2011-07-25,diesel,ultra_low_sulfur,,3.949
2011-08-01,diesel,ultra_low_sulfur,,3.937
2011-08-08,diesel,ultra_low_sulfur,,3.897
2011-08-15,diesel,ultra_low_sulfur,,3.835
2011-08-22,diesel,ultra_low_sulfur,,3.81
2011-08-29,diesel,ultra_low_sulfur,,3.82
2011-09-05,diesel,ultra_low_sulfur,,3.868
2011-09-12,diesel,ultra_low_sulfur,,3.862
2011-09-19,diesel,ultra_low_sulfur,,3.833
2011-09-26,diesel,ultra_low_sulfur,,3.786
2011-10-03,diesel,ultra_low_sulfur,,3.749
2011-10-10,diesel,ultra_low_sulfur,,3.721
2011-10-17,diesel,ultra_low_sulfur,,3.801
2011-10-24,diesel,ultra_low_sulfur,,3.825
2011-10-31,diesel,ultra_low_sulfur,,3.892
2011-11-07,diesel,ultra_low_sulfur,,3.887
2011-11-14,diesel,ultra_low_sulfur,,3.987
2011-11-21,diesel,ultra_low_sulfur,,4.01
2011-11-28,diesel,ultra_low_sulfur,,3.964
2011-12-05,diesel,ultra_low_sulfur,,3.931
2011-12-12,diesel,ultra_low_sulfur,,3.894
2011-12-19,diesel,ultra_low_sulfur,,3.828
2011-12-26,diesel,ultra_low_sulfur,,3.791
2012-01-02,diesel,ultra_low_sulfur,,3.783
2012-01-09,diesel,ultra_low_sulfur,,3.828
2012-01-16,diesel,ultra_low_sulfur,,3.854
2012-01-23,diesel,ultra_low_sulfur,,3.848
2012-01-30,diesel,ultra_low_sulfur,,3.85
2012-02-06,diesel,ultra_low_sulfur,,3.856
2012-02-13,diesel,ultra_low_sulfur,,3.943
2012-02-20,diesel,ultra_low_sulfur,,3.96
2012-02-27,diesel,ultra_low_sulfur,,4.051
2012-03-05,diesel,ultra_low_sulfur,,4.094
2012-03-12,diesel,ultra_low_sulfur,,4.123
2012-03-19,diesel,ultra_low_sulfur,,4.142
2012-03-26,diesel,ultra_low_sulfur,,4.147
2012-04-02,diesel,ultra_low_sulfur,,4.142
2012-04-09,diesel,ultra_low_sulfur,,4.148
2012-04-16,diesel,ultra_low_sulfur,,4.127
2012-04-23,diesel,ultra_low_sulfur,,4.085
2012-04-30,diesel,ultra_low_sulfur,,4.073
2012-05-07,diesel,ultra_low_sulfur,,4.057
2012-05-14,diesel,ultra_low_sulfur,,4.004
2012-05-21,diesel,ultra_low_sulfur,,3.956
2012-05-28,diesel,ultra_low_sulfur,,3.897
2012-06-04,diesel,ultra_low_sulfur,,3.846
2012-06-11,diesel,ultra_low_sulfur,,3.781
2012-06-18,diesel,ultra_low_sulfur,,3.729
2012-06-25,diesel,ultra_low_sulfur,,3.678
2012-07-02,diesel,ultra_low_sulfur,,3.648
2012-07-09,diesel,ultra_low_sulfur,,3.683
2012-07-16,diesel,ultra_low_sulfur,,3.695
2012-07-23,diesel,ultra_low_sulfur,,3.783
2012-07-30,diesel,ultra_low_sulfur,,3.796
2012-08-06,diesel,ultra_low_sulfur,,3.85
2012-08-13,diesel,ultra_low_sulfur,,3.965
2012-08-20,diesel,ultra_low_sulfur,,4.026
2012-08-27,diesel,ultra_low_sulfur,,4.089
2012-09-03,diesel,ultra_low_sulfur,,4.127
2012-09-10,diesel,ultra_low_sulfur,,4.132
2012-09-17,diesel,ultra_low_sulfur,,4.135
2012-09-24,diesel,ultra_low_sulfur,,4.086
2012-10-01,diesel,ultra_low_sulfur,,4.079
2012-10-08,diesel,ultra_low_sulfur,,4.094
2012-10-15,diesel,ultra_low_sulfur,,4.15
2012-10-22,diesel,ultra_low_sulfur,,4.116
2012-10-29,diesel,ultra_low_sulfur,,4.03
2012-11-05,diesel,ultra_low_sulfur,,4.01
2012-11-12,diesel,ultra_low_sulfur,,3.98
2012-11-19,diesel,ultra_low_sulfur,,3.976
2012-11-26,diesel,ultra_low_sulfur,,4.034
2012-12-03,diesel,ultra_low_sulfur,,4.027
2012-12-10,diesel,ultra_low_sulfur,,3.991
2012-12-17,diesel,ultra_low_sulfur,,3.945
2012-12-24,diesel,ultra_low_sulfur,,3.923
2012-12-31,diesel,ultra_low_sulfur,,3.918
2013-01-07,diesel,ultra_low_sulfur,,3.911
2013-01-14,diesel,ultra_low_sulfur,,3.894
2013-01-21,diesel,ultra_low_sulfur,,3.902
2013-01-28,diesel,ultra_low_sulfur,,3.927
2013-02-04,diesel,ultra_low_sulfur,,4.022
2013-02-11,diesel,ultra_low_sulfur,,4.104
2013-02-18,diesel,ultra_low_sulfur,,4.157
2013-02-25,diesel,ultra_low_sulfur,,4.159
2013-03-04,diesel,ultra_low_sulfur,,4.13
2013-03-11,diesel,ultra_low_sulfur,,4.088
2013-03-18,diesel,ultra_low_sulfur,,4.047
2013-03-25,diesel,ultra_low_sulfur,,4.006
2013-04-01,diesel,ultra_low_sulfur,,3.993
2013-04-08,diesel,ultra_low_sulfur,,3.977
2013-04-15,diesel,ultra_low_sulfur,,3.942
2013-04-22,diesel,ultra_low_sulfur,,3.887
2013-04-29,diesel,ultra_low_sulfur,,3.851
2013-05-06,diesel,ultra_low_sulfur,,3.845
2013-05-13,diesel,ultra_low_sulfur,,3.866
2013-05-20,diesel,ultra_low_sulfur,,3.89
2013-05-27,diesel,ultra_low_sulfur,,3.88
2013-06-03,diesel,ultra_low_sulfur,,3.869
2013-06-10,diesel,ultra_low_sulfur,,3.849
2013-06-17,diesel,ultra_low_sulfur,,3.841
2013-06-24,diesel,ultra_low_sulfur,,3.838
2013-07-01,diesel,ultra_low_sulfur,,3.817
2013-07-08,diesel,ultra_low_sulfur,,3.828
2013-07-15,diesel,ultra_low_sulfur,,3.867
2013-07-22,diesel,ultra_low_sulfur,,3.903
2013-07-29,diesel,ultra_low_sulfur,,3.915
2013-08-05,diesel,ultra_low_sulfur,,3.909
2013-08-12,diesel,ultra_low_sulfur,,3.896
2013-08-19,diesel,ultra_low_sulfur,,3.9
2013-08-26,diesel,ultra_low_sulfur,,3.913
2013-09-02,diesel,ultra_low_sulfur,,3.981
2013-09-09,diesel,ultra_low_sulfur,,3.981
2013-09-16,diesel,ultra_low_sulfur,,3.974
2013-09-23,diesel,ultra_low_sulfur,,3.949
2013-09-30,diesel,ultra_low_sulfur,,3.919
2013-10-07,diesel,ultra_low_sulfur,,3.897
2013-10-14,diesel,ultra_low_sulfur,,3.886
2013-10-21,diesel,ultra_low_sulfur,,3.886
2013-10-28,diesel,ultra_low_sulfur,,3.87
2013-11-04,diesel,ultra_low_sulfur,,3.857
2013-11-11,diesel,ultra_low_sulfur,,3.832
2013-11-18,diesel,ultra_low_sulfur,,3.822
2013-11-25,diesel,ultra_low_sulfur,,3.844
2013-12-02,diesel,ultra_low_sulfur,,3.883
2013-12-09,diesel,ultra_low_sulfur,,3.879
2013-12-16,diesel,ultra_low_sulfur,,3.871
2013-12-23,diesel,ultra_low_sulfur,,3.873
2013-12-30,diesel,ultra_low_sulfur,,3.903
2014-01-06,diesel,ultra_low_sulfur,,3.91
2014-01-13,diesel,ultra_low_sulfur,,3.886
2014-01-20,diesel,ultra_low_sulfur,,3.873
2014-01-27,diesel,ultra_low_sulfur,,3.904
2014-02-03,diesel,ultra_low_sulfur,,3.951
2014-02-10,diesel,ultra_low_sulfur,,3.977
2014-02-17,diesel,ultra_low_sulfur,,3.989
2014-02-24,diesel,ultra_low_sulfur,,4.017
2014-03-03,diesel,ultra_low_sulfur,,4.016
2014-03-10,diesel,ultra_low_sulfur,,4.021
2014-03-17,diesel,ultra_low_sulfur,,4.003
2014-03-24,diesel,ultra_low_sulfur,,3.988
2014-03-31,diesel,ultra_low_sulfur,,3.975
2014-04-07,diesel,ultra_low_sulfur,,3.959
2014-04-14,diesel,ultra_low_sulfur,,3.952
2014-04-21,diesel,ultra_low_sulfur,,3.971
2014-04-28,diesel,ultra_low_sulfur,,3.975
2014-05-05,diesel,ultra_low_sulfur,,3.964
2014-05-12,diesel,ultra_low_sulfur,,3.948
2014-05-19,diesel,ultra_low_sulfur,,3.934
2014-05-26,diesel,ultra_low_sulfur,,3.925
2014-06-02,diesel,ultra_low_sulfur,,3.918
2014-06-09,diesel,ultra_low_sulfur,,3.892
2014-06-16,diesel,ultra_low_sulfur,,3.882
2014-06-23,diesel,ultra_low_sulfur,,3.919
2014-06-30,diesel,ultra_low_sulfur,,3.92
2014-07-07,diesel,ultra_low_sulfur,,3.913
2014-07-14,diesel,ultra_low_sulfur,,3.894
2014-07-21,diesel,ultra_low_sulfur,,3.869
2014-07-28,diesel,ultra_low_sulfur,,3.858
2014-08-04,diesel,ultra_low_sulfur,,3.853
2014-08-11,diesel,ultra_low_sulfur,,3.843
2014-08-18,diesel,ultra_low_sulfur,,3.835
2014-08-25,diesel,ultra_low_sulfur,,3.821
2014-09-01,diesel,ultra_low_sulfur,,3.814
2014-09-08,diesel,ultra_low_sulfur,,3.814
2014-09-15,diesel,ultra_low_sulfur,,3.801
2014-09-22,diesel,ultra_low_sulfur,,3.778
2014-09-29,diesel,ultra_low_sulfur,,3.755
2014-10-06,diesel,ultra_low_sulfur,,3.733
2014-10-13,diesel,ultra_low_sulfur,,3.698
2014-10-20,diesel,ultra_low_sulfur,,3.656
2014-10-27,diesel,ultra_low_sulfur,,3.635
2014-11-03,diesel,ultra_low_sulfur,,3.623
2014-11-10,diesel,ultra_low_sulfur,,3.677
2014-11-17,diesel,ultra_low_sulfur,,3.661
2014-11-24,diesel,ultra_low_sulfur,,3.628
2014-12-01,diesel,ultra_low_sulfur,,3.605
2014-12-08,diesel,ultra_low_sulfur,,3.535
2014-12-15,diesel,ultra_low_sulfur,,3.419
2014-12-22,diesel,ultra_low_sulfur,,3.281
2014-12-29,diesel,ultra_low_sulfur,,3.213
2015-01-05,diesel,ultra_low_sulfur,,3.137
2015-01-12,diesel,ultra_low_sulfur,,3.053
2015-01-19,diesel,ultra_low_sulfur,,2.933
2015-01-26,diesel,ultra_low_sulfur,,2.866
2015-02-02,diesel,ultra_low_sulfur,,2.831
2015-02-09,diesel,ultra_low_sulfur,,2.835
2015-02-16,diesel,ultra_low_sulfur,,2.865
2015-02-23,diesel,ultra_low_sulfur,,2.9
2015-03-02,diesel,ultra_low_sulfur,,2.936
2015-03-09,diesel,ultra_low_sulfur,,2.944
2015-03-16,diesel,ultra_low_sulfur,,2.917
2015-03-23,diesel,ultra_low_sulfur,,2.864
2015-03-30,diesel,ultra_low_sulfur,,2.824
2015-04-06,diesel,ultra_low_sulfur,,2.784
2015-04-13,diesel,ultra_low_sulfur,,2.754
2015-04-20,diesel,ultra_low_sulfur,,2.78
2015-04-27,diesel,ultra_low_sulfur,,2.811
2015-05-04,diesel,ultra_low_sulfur,,2.854
2015-05-11,diesel,ultra_low_sulfur,,2.878
2015-05-18,diesel,ultra_low_sulfur,,2.904
2015-05-25,diesel,ultra_low_sulfur,,2.914
2015-06-01,diesel,ultra_low_sulfur,,2.909
